,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
6657,Austin Community College District,Eastview Campus,3401 Weberville Road,Austin,TX,78702,4,"Public, 2-year",18726.0,22817.0,41543.0,0,0,0,3,"Austin Community College District, 3401 Weberville Road, Austin, TX 78702",
6668,Austin Community College District,Reagan Center,7104 Berkman Dr,Austin,TX,78752,4,"Public, 2-year",18726.0,22817.0,41543.0,0,0,0,1,"Austin Community College District, 7104 Berkman Dr, Austin, TX 78752",
6693,Brookhaven College,BROOKHAVEN COLLEGE,3939 VALLEY VIEW LN,FARMERS BRANCH,TX,752444997,4,"Public, 2-year",5435.0,7340.0,12775.0,0,1,0,1,"Brookhaven College, 3939 VALLEY VIEW LN, FARMERS BRANCH, TX 752444997",
6804,University of Houston-Victoria,University of Houston-Victoria,3007 N. Ben Wilson,Victoria,TX,779015731,1,"Public, 4-year or above",1512.0,2872.0,4384.0,0,0,0,4,"University of Houston-Victoria, 3007 N. Ben Wilson, Victoria, TX 779015731",
6896,Our Lady of the Lake University,Main Campus OUR LADY OF THE LAKE UNIVERSITY,411 SW 24TH ST,SAN ANTONIO,TX,782074689,2,"Private nonprofit, 4-year or above",789.0,2341.0,3130.0,1,1,0,0,"Our Lady of the Lake University, 411 SW 24TH ST, SAN ANTONIO, TX 782074689",
6912,Prairie View A & M University,Main Campus,Reda Bland Evans and Ann Preston St.,PRAIRIE VIEW,TX,77446,1,"Public, 4-year or above",3459.0,5323.0,8782.0,3,0,4,6,"Prairie View A & M University, Reda Bland Evans and Ann Preston St., PRAIRIE VIEW, TX 77446",
6978,Tarrant County College District,Trinity River Campus,300 Trinity Campus Circle,Fort Worth,TX,761021901,4,"Public, 2-year",21766.0,29584.0,51350.0,1,0,0,0,"Tarrant County College District, 300 Trinity Campus Circle, Fort Worth, TX 761021901",
6980,Temple College,Temple College Campus,2600 S 1ST ST,TEMPLE,TX,765047435,4,"Public, 2-year",1724.0,3222.0,4946.0,1,0,0,0,"Temple College, 2600 S 1ST ST, TEMPLE, TX 765047435",
6997,Texas A & M University-College Station,College of Dentistry - Dallas,3302 Gaston Avenue,Dallas,TX,75246,1,"Public, 4-year or above",34333.0,31299.0,65632.0,1,0,1,7,"Texas A & M University-College Station, 3302 Gaston Avenue, Dallas, TX 75246",
7006,The University of Texas at Arlington,Main Campus,701 S NEDDERMAN DR,ARLINGTON,TX,76019,1,"Public, 4-year or above",17503.0,27779.0,45282.0,4,3,4,2,"The University of Texas at Arlington, 701 S NEDDERMAN DR, ARLINGTON, TX 76019",
7164,Westminster College,Main Campus,1840 S 1300 E,SALT LAKE CITY,UT,84105,2,"Private nonprofit, 4-year or above",1177.0,1517.0,2694.0,2,2,0,3,"Westminster College, 1840 S 1300 E, SALT LAKE CITY, UT 84105",
7176,Lyndon State College,Main Campus,1001 COLLEGE RD,LYNDONVILLE,VT,058510919,1,"Public, 4-year or above",706.0,550.0,1256.0,2,0,0,0,"Lyndon State College, 1001 COLLEGE RD, LYNDONVILLE, VT 058510919",
7177,Marlboro College,Main Campus,2582 SOUTH RD,MARLBORO,VT,053440300,2,"Private nonprofit, 4-year or above",91.0,107.0,198.0,2,2,0,0,"Marlboro College, 2582 SOUTH RD, MARLBORO, VT 053440300",
7186,SIT Graduate Institute,Main Campus,1 Kipling Road,BRATTLEBORO,VT,053020676,2,"Private nonprofit, 4-year or above",87.0,207.0,294.0,0,1,0,0,"SIT Graduate Institute, 1 Kipling Road, BRATTLEBORO, VT 053020676",
7188,College of St Joseph,Main Campus,71 CLEMENT ROAD,RUTLAND,VT,057013899,2,"Private nonprofit, 4-year or above",132.0,186.0,318.0,0,0,0,1,"College of St Joseph, 71 CLEMENT ROAD, RUTLAND, VT 057013899",
7189,Southern Vermont College,Main Campus,982 MANSION DR,BENNINGTON,VT,052016002,2,"Private nonprofit, 4-year or above",153.0,221.0,374.0,1,0,0,0,"Southern Vermont College, 982 MANSION DR, BENNINGTON, VT 052016002",
7202,College of William and Mary,Main Campus,PO Box 8795,WILLIAMSBURG,VA,231878795,1,"Public, 4-year or above",3846.0,4771.0,8617.0,10,3,2,2,"College of William and Mary, PO Box 8795, WILLIAMSBURG, VA 231878795",
7220,Eastern Virginia Medical School,Main Campus,721 Fairfax Ave.,NORFOLK,VA,235071696,1,"Public, 4-year or above",493.0,637.0,1130.0,0,0,0,1,"Eastern Virginia Medical School, 721 Fairfax Ave., NORFOLK, VA 235071696",
7223,Eastern Mennonite University,Main Campus,1200 PARK RD,HARRISONBURG,VA,228022462,2,"Private nonprofit, 4-year or above",590.0,1155.0,1745.0,1,0,0,0,"Eastern Mennonite University, 1200 PARK RD, HARRISONBURG, VA 228022462",
7240,Hampden-Sydney College,Main Campus,"College Road, Box 128",Hampden-Sydney,VA,239430128,2,"Private nonprofit, 4-year or above",1025.0,2.0,1027.0,0,0,0,3,"Hampden-Sydney College, College Road, Box 128, Hampden-Sydney, VA 239430128",
7243,Hollins University,Hollins University,7916 WILLIAMSON RD NW,ROANOKE,VA,24020,2,"Private nonprofit, 4-year or above",31.0,806.0,837.0,0,1,0,0,"Hollins University, 7916 WILLIAMSON RD NW, ROANOKE, VA 24020",
7415,Virginia Union University,Main Campus,1500 N LOMBARDY ST,RICHMOND,VA,232201711,2,"Private nonprofit, 4-year or above",817.0,998.0,1815.0,2,0,0,4,"Virginia Union University, 1500 N LOMBARDY ST, RICHMOND, VA 232201711",
7421,The Art Institute of Seattle,The Art Institute of Seattle,2323 ELLIOTT AVE,SEATTLE,WA,981211622,3,"Private for-profit, 4-year or above",531.0,434.0,965.0,0,0,0,1,"The Art Institute of Seattle, 2323 ELLIOTT AVE, SEATTLE, WA 981211622",
7423,Bellevue College,Main Campus,3000 LANDERHOLM CIRCLE SE,BELLEVUE,WA,980076484,1,"Public, 4-year or above",6113.0,7393.0,13506.0,0,0,0,3,"Bellevue College, 3000 LANDERHOLM CIRCLE SE, BELLEVUE, WA 980076484",
7611,West Virginia University,Main Campus,P.O. Box 6563 University Police,MORGANTOWN,WV,265066563,1,"Public, 4-year or above",14703.0,13785.0,28488.0,9,1,3,0,"West Virginia University, P.O. Box 6563 University Police, MORGANTOWN, WV 265066563",
7615,Alverno College,Alverno College,3400 S 43RD  ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",57.0,1960.0,2017.0,0,0,0,2,"Alverno College, 3400 S 43RD  ST, Milwaukee, WI 532343922",
7758,University of Wisconsin-Oshkosh,University of Wisconsin Oshkosh,800 Algoma Blvd,Oshkosh,WI,54901,1,"Public, 4-year or above",5387.0,8571.0,13958.0,2,1,0,3,"University of Wisconsin-Oshkosh, 800 Algoma Blvd, Oshkosh, WI 54901",
7762,University of Wisconsin-Superior,Main Campus,PO Box 2000 BELKNAP & CATLIN,SUPERIOR,WI,548804500,1,"Public, 4-year or above",950.0,1539.0,2489.0,1,0,0,0,"University of Wisconsin-Superior, PO Box 2000 BELKNAP & CATLIN, SUPERIOR, WI 548804500",
7787,University of Wyoming,University of Wyoming,Dept. 3434 1000 E. University Old Main #206,Laramie,WY,82071,1,"Public, 4-year or above",6049.0,6317.0,12366.0,19,0,0,0,"University of Wyoming, Dept. 3434 1000 E. University Old Main #206, Laramie, WY 82071",
7800,Antilles School of Technical Careers,Antilles School of Technical Careers,Cayey Street 1911 William Jones Corner,SANTURCE,PR,00909,9,"Private for-profit, less-than 2-year",142.0,402.0,544.0,0,0,2,0,"Antilles School of Technical Careers, Cayey Street 1911 William Jones Corner, SANTURCE, PR 00909",
7803,Universidad Central de Bayamon,Universidad Central de Bayamon,AVENIDA ZAYA VERDE  REPARTO LA MILAGROSA,BAYAMON,PR,009591725,2,"Private nonprofit, 4-year or above",583.0,1082.0,1665.0,0,0,3,0,"Universidad Central de Bayamon, AVENIDA ZAYA VERDE  REPARTO LA MILAGROSA, BAYAMON, PR 009591725",
7817,Universidad Metropolitana,Bayamon,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F",BAYAMON,PR,00960,2,"Private nonprofit, 4-year or above",4795.0,8841.0,13636.0,0,0,3,0,"Universidad Metropolitana, CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F, BAYAMON, PR 00960",
7839,Instituto de Banca y Comercio Inc,Ponce,"Calle Ferrocarril 709, Esquina Concordia",Ponce,PR,007175033,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,6,4,"Instituto de Banca y Comercio Inc, Calle Ferrocarril 709, Esquina Concordia, Ponce, PR 007175033",
7840,Instituto de Banca y Comercio Inc,Mayaguez,"#75 Avenida Tenerife, Carretera #2, Bo. Sultana",Mayaguez,PR,006801429,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,2,0,"Instituto de Banca y Comercio Inc, #75 Avenida Tenerife, Carretera #2, Bo. Sultana, Mayaguez, PR 006801429",
7846,Instituto de Banca y Comercio Inc,Barranquitas,"Carretera 719 Km. 1.5 Bo. Helechal, Centro Comercial Plaza",Barranquitas,PR,00794,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Instituto de Banca y Comercio Inc, Carretera 719 Km. 1.5 Bo. Helechal, Centro Comercial Plaza, Barranquitas, PR 00794",
7847,Instituto de Banca y Comercio Inc,Humacao,"Carretera PR-908, Km. 1.0, Barrio Tejas",Humacao,PR,00791,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Instituto de Banca y Comercio Inc, Carretera PR-908, Km. 1.0, Barrio Tejas, Humacao, PR 00791",
7848,Instituto de Banca y Comercio Inc,Aguadilla,Carretera #2 Km 121.1 Bo. Caimital Alto,Aguadilla,PR,00603,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Instituto de Banca y Comercio Inc, Carretera #2 Km 121.1 Bo. Caimital Alto, Aguadilla, PR 00603",
7857,Inter American University of Puerto Rico-San German,SAN GERMAN CAMPUS,INTERAMERICAN UNIVERSITY AVENUE,SAN GERMAN,PR,006839801,2,"Private nonprofit, 4-year or above",2144.0,2578.0,4722.0,0,0,0,1,"Inter American University of Puerto Rico-San German, INTERAMERICAN UNIVERSITY AVENUE, SAN GERMAN, PR 006839801",
7898,Universidad Del Turabo,Main Campus,CARR. # 189 KM 3.3,GURABO,PR,007783030,2,"Private nonprofit, 4-year or above",6969.0,10198.0,17167.0,0,0,0,1,"Universidad Del Turabo, CARR. # 189 KM 3.3, GURABO, PR 007783030",
7909,College of Micronesia-FSM,National Campus,"P.O. Box 159, Kolonia",Pohnpei,FM,969410159,4,"Public, 2-year",872.0,1218.0,2090.0,0,0,0,4,"College of Micronesia-FSM, P.O. Box 159, Kolonia, Pohnpei, FM 969410159",
7912,College of Micronesia-FSM,Yap Campus,PO BOX 286 COLONIA,Colonia,FM,969430286,4,"Public, 2-year",872.0,1218.0,2090.0,0,0,0,1,"College of Micronesia-FSM, PO BOX 286 COLONIA, Colonia, FM 969430286",
7916,University of the Virgin Islands,St. Thomas Campus (Main Campus),#2 JOHN BREWERS BAY,CHARLOTTE AMALIE,VI,008029990,1,"Public, 4-year or above",743.0,1627.0,2370.0,0,0,0,3,"University of the Virgin Islands, #2 JOHN BREWERS BAY, CHARLOTTE AMALIE, VI 008029990",
7943,ICPR Junior College-General Institutional,Hato Rey Main Campus,558 MUNOZ RIVERA AVE,HATO REY,PR,009190304,6,"Private for-profit, 2-year",194.0,534.0,728.0,0,0,1,0,"ICPR Junior College-General Institutional, 558 MUNOZ RIVERA AVE, HATO REY, PR 009190304",
8008,Landmark College,Main Campus,19 RIVER RD SOUTH,PUTNEY,VT,05346,2,"Private nonprofit, 4-year or above",322.0,146.0,468.0,3,2,0,0,"Landmark College, 19 RIVER RD SOUTH, PUTNEY, VT 05346",
8081,Educators of Beauty College of Cosmetology-Rockford,Rockford,2601B N. MULFORD,ROCKFORD,IL,61114,9,"Private for-profit, less-than 2-year",1.0,79.0,80.0,0,0,1,0,"Educators of Beauty College of Cosmetology-Rockford, 2601B N. MULFORD, ROCKFORD, IL 61114",
8122,Conservatory of Recording Arts and Sciences,Main Campus,2300 E BROADWAY RD,TEMPE,AZ,852821707,9,"Private for-profit, less-than 2-year",548.0,64.0,612.0,0,0,0,1,"Conservatory of Recording Arts and Sciences, 2300 E BROADWAY RD, TEMPE, AZ 852821707",
8320,Madison Adult Career Center,Main Campus,600 ESLEY LN,MANSFIELD,OH,44905,4,"Public, 2-year",36.0,92.0,128.0,0,0,0,1,"Madison Adult Career Center, 600 ESLEY LN, MANSFIELD, OH 44905",
8362,University of Washington-Bothell Campus,Bothell Campus,18115 Campus Way NE,BOTHELL,WA,980118246,1,"Public, 4-year or above",2878.0,2856.0,5734.0,1,0,0,0,"University of Washington-Bothell Campus, 18115 Campus Way NE, BOTHELL, WA 980118246",
8530,Schuyler Steuben Chemung Tioga Allegany BOCES,Bush Education Center,459 PHILO ROAD,ELMIRA,NY,149031089,7,"Public, less-than 2-year",9.0,151.0,160.0,0,1,0,0,"Schuyler Steuben Chemung Tioga Allegany BOCES, 459 PHILO ROAD, ELMIRA, NY 149031089",
8713,Ulster BOCES School of Practical Nursing,Main Campus,"PO Box 601, Route 9W",PORT EWEN,NY,12466,7,"Public, less-than 2-year",5.0,80.0,85.0,0,1,0,0,"Ulster BOCES School of Practical Nursing, PO Box 601, Route 9W, PORT EWEN, NY 12466",
8797,York County Community College,Main Campus,112 COLLEGE DR,WELLS,ME,04090,4,"Public, 2-year",666.0,1161.0,1827.0,0,1,0,0,"York County Community College, 112 COLLEGE DR, WELLS, ME 04090",
9035,Virginia Sewing Machines and School Center,Main Campus,"6330 Pacific Blvd., Ste 200",Huntington Park,CA,902554199,9,"Private for-profit, less-than 2-year",40.0,150.0,190.0,0,1,0,0,"Virginia Sewing Machines and School Center, 6330 Pacific Blvd., Ste 200, Huntington Park, CA 902554199",
9091,Ilisagvik College,Ilisagvik College,360 NARL Stevenson St.,BARROW,AK,997230749,4,"Public, 2-year",62.0,126.0,188.0,0,0,1,1,"Ilisagvik College, 360 NARL Stevenson St., BARROW, AK 997230749",
9169,Everest College-Chesapeake,Altierus Career College Chesapeake,825 Greenbrier Circle #100,Chesapeake,VA,233202639,5,"Private nonprofit, 2-year",78.0,147.0,225.0,0,0,0,1,"Everest College-Chesapeake, 825 Greenbrier Circle #100, Chesapeake, VA 233202639",
9298,Susquehanna County Career and Technology Center,Susquehanna County Career and Technology Center,2380 Elk Lake School Road,Springville,PA,18844,7,"Public, less-than 2-year",8.0,58.0,66.0,0,1,0,0,"Susquehanna County Career and Technology Center, 2380 Elk Lake School Road, Springville, PA 18844",
9340,Everest Institute-Austin,Altierus Career College Austin,"9100 US Hwy 290 East, Bldg 1, Suite 100",Austin,TX,787242479,8,"Private nonprofit, less-than 2-year",78.0,147.0,225.0,0,0,0,1,"Everest Institute-Austin, 9100 US Hwy 290 East, Bldg 1, Suite 100, Austin, TX 787242479",
9341,Tohono O'Odham Community College,Main Campus,"HIGHWAY 86, MILE POST 125.5",SELLS,AZ,85634,4,"Public, 2-year",101.0,175.0,276.0,1,0,0,0,"Tohono O'Odham Community College, HIGHWAY 86, MILE POST 125.5, SELLS, AZ 85634",
9357,NorthShore University HealthSystem School of Nurse Anesthesia,Main Campus,"2650 RIDGE AVE, RM G603C",EVANSTON,IL,60201,2,"Private nonprofit, 4-year or above",11.0,47.0,58.0,0,0,4,0,"NorthShore University HealthSystem School of Nurse Anesthesia, 2650 RIDGE AVE, RM G603C, EVANSTON, IL 60201",
10494,Relay Graduate School of Education,Philadelphia & Camden,"100 W. Oxford St., Suite 2100 E",Philadelphia,PA,19122,2,"Private nonprofit, 4-year or above",622.0,1628.0,2250.0,0,0,1,1,"Relay Graduate School of Education, 100 W. Oxford St., Suite 2100 E, Philadelphia, PA 19122",
10577,Boise Barber College,Main Campus,3027 North Cole Road,Boise,ID,837045919,6,"Private for-profit, 2-year",44.0,15.0,59.0,0,0,1,0,"Boise Barber College, 3027 North Cole Road, Boise, ID 837045919",
10627,Platt College-Riverside,Platt College - Riverside,6465 Sycamore Canyon Blvd Ste 100,Riverside,CA,92507,3,"Private for-profit, 4-year or above",86.0,376.0,462.0,0,0,0,1,"Platt College-Riverside, 6465 Sycamore Canyon Blvd Ste 100, Riverside, CA 92507",
10730,Middle Georgia State University,Cochran,1100 Second Street,Cochran,GA,310141599,1,"Public, 4-year or above",3234.0,4480.0,7714.0,1,1,0,0,"Middle Georgia State University, 1100 Second Street, Cochran, GA 310141599",
10966,University of Phoenix-Michigan,Detroit Main Campus,26261 Evergreen Road,Southfield,MI,480764400,3,"Private for-profit, 4-year or above",87.0,266.0,353.0,0,0,0,1,"University of Phoenix-Michigan, 26261 Evergreen Road, Southfield, MI 480764400",
11117,Emory University-Oxford College,Oxford College Campus,810 Whatcoat Street,Oxford,GA,30054,5,"Private nonprofit, 2-year",405.0,573.0,978.0,2,0,0,0,"Emory University-Oxford College, 810 Whatcoat Street, Oxford, GA 30054",
11144,Florida Career College-West Palm Beach,Main Campus,6058 Okeechobee Blvd.,West Palm Beach,FL,334174326,6,"Private for-profit, 2-year",205.0,319.0,524.0,1,0,0,1,"Florida Career College-West Palm Beach, 6058 Okeechobee Blvd., West Palm Beach, FL 334174326",
11145,Florida Career College-Hialeah,Main Campus,3750 West 18 Avenue,Hialeah,FL,330127028,6,"Private for-profit, 2-year",267.0,175.0,442.0,0,0,0,1,"Florida Career College-Hialeah, 3750 West 18 Avenue, Hialeah, FL 330127028",
11146,Florida Career College-Lauderdale Lakes,Main Campus,3383 North State Road 7,Lauderdale Lakes,FL,333195617,6,"Private for-profit, 2-year",287.0,544.0,831.0,0,0,1,10,"Florida Career College-Lauderdale Lakes, 3383 North State Road 7, Lauderdale Lakes, FL 333195617",
