,Unnamed: 0,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
81,2391,Iowa Central Community College,Main Campus,One Triton Circle,FORT DODGE,IA,50501,4,"Public, 2-year",2825.0,2887.0,5712.0,1,0,0,0,"One Triton Circle, FORT DODGE, IA","[42.4873339, -94.20569400000001]",42.4873339,-94.205694,0.0,0.0,0.0,0.2,"Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 1<br>Enrollment: 5712<br>Rate per 1000 students: 0.2"
82,2403,Iowa Western Community College,Main Campus,2700 COLLEGE RD BOX 4C,COUNCIL BLUFFS,IA,515023004,4,"Public, 2-year",2648.0,3433.0,6081.0,3,0,2,1,"2700 COLLEGE RD BOX 4C, COUNCIL BLUFFS, IA","[41.272829, -95.801108]",41.272829,-95.801108,0.2,0.3,0.0,0.5,"Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 1<br>Enrollment: 6081<br>Rate per 1000 students: 0.2","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 2<br>Enrollment: 6081<br>Rate per 1000 students: 0.3","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 0<br>Enrollment: 6081<br>Rate per 1000 students: 0.0","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 3<br>Enrollment: 6081<br>Rate per 1000 students: 0.5"
83,2436,University of Northern Iowa,Main Campus,1222 W 27TH ST,CEDAR FALLS,IA,50614,1,"Public, 4-year or above",4862.0,7043.0,11905.0,8,9,0,5,"1222 W 27TH ST, CEDAR FALLS, IA","[42.5131325, -92.46564889999999]",42.5131325,-92.4656489,0.4,0.0,0.8,0.7,"University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 5<br>Enrollment: 11905<br>Rate per 1000 students: 0.4","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 0<br>Enrollment: 11905<br>Rate per 1000 students: 0.0","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 9<br>Enrollment: 11905<br>Rate per 1000 students: 0.8","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 8<br>Enrollment: 11905<br>Rate per 1000 students: 0.7"
84,2469,Southwestern Community College,Main Campus,1501 West Townline Street,CRESTON,IA,50801,4,"Public, 2-year",724.0,922.0,1646.0,0,1,0,0,"1501 West Townline Street, CRESTON, IA","[41.0732022, -94.3808459]",41.0732022,-94.3808459,0.0,0.0,0.6,0.0,"Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0","Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0","Southwestern Community College<br>Creston, IA<br>Crime Count: 1<br>Enrollment: 1646<br>Rate per 1000 students: 0.6","Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0"
85,2524,Cloud County Community College,Concordia Campus,"2221 Campus Drive, Box 1002",Concordia,KS,669011002,4,"Public, 2-year",844.0,1194.0,2038.0,0,1,0,0,"2221 Campus Drive, Box 1002, Concordia, KS","[39.5543949, -97.66498419999999]",39.5543949,-97.6649842,0.0,0.0,0.5,0.0,"Cloud County Community College<br>Concordia, KS<br>Crime Count: 0<br>Enrollment: 2038<br>Rate per 1000 students: 0.0","Cloud County Community College<br>Concordia, KS<br>Crime Count: 0<br>Enrollment: 2038<br>Rate per 1000 students: 0.0","Cloud County Community College<br>Concordia, KS<br>Crime Count: 1<br>Enrollment: 2038<br>Rate per 1000 students: 0.5","Cloud County Community College<br>Concordia, KS<br>Crime Count: 0<br>Enrollment: 2038<br>Rate per 1000 students: 0.0"
87,2555,Kansas City Kansas Community College,KCKCC CAMPUS,7250 STATE AVE,KANSAS CITY,KS,66112,4,"Public, 2-year",2315.0,3411.0,5726.0,1,1,0,2,"7250 STATE AVE, KANSAS CITY, KS","[39.1222159, -94.7485212]",39.1222159,-94.7485212,0.3,0.0,0.2,0.2,"Kansas City Kansas Community College<br>Kansas City, KS<br>Crime Count: 2<br>Enrollment: 5726<br>Rate per 1000 students: 0.3","Kansas City Kansas Community College<br>Kansas City, KS<br>Crime Count: 0<br>Enrollment: 5726<br>Rate per 1000 students: 0.0","Kansas City Kansas Community College<br>Kansas City, KS<br>Crime Count: 1<br>Enrollment: 5726<br>Rate per 1000 students: 0.2","Kansas City Kansas Community College<br>Kansas City, KS<br>Crime Count: 1<br>Enrollment: 5726<br>Rate per 1000 students: 0.2"
88,2591,Seward County Community College and Area Technical School,Seward County Community College,1801 N. Kansas Ave.,Liberal,KS,679051137,4,"Public, 2-year",827.0,1100.0,1927.0,0,1,1,0,"1801 N. Kansas Ave., Liberal, KS","[37.05810230000001, -100.9223182]",37.0581023,-100.9223182,0.0,0.5,0.5,0.0,"Seward County Community College and Area Technical School<br>Liberal, KS<br>Crime Count: 0<br>Enrollment: 1927<br>Rate per 1000 students: 0.0","Seward County Community College and Area Technical School<br>Liberal, KS<br>Crime Count: 1<br>Enrollment: 1927<br>Rate per 1000 students: 0.5","Seward County Community College and Area Technical School<br>Liberal, KS<br>Crime Count: 1<br>Enrollment: 1927<br>Rate per 1000 students: 0.5","Seward County Community College and Area Technical School<br>Liberal, KS<br>Crime Count: 0<br>Enrollment: 1927<br>Rate per 1000 students: 0.0"
89,2685,University of Kentucky,University of KY,104 Administration Drive,LEXINGTON,KY,405060032,1,"Public, 4-year or above",13555.0,16226.0,29781.0,17,3,4,1,"104 Administration Drive, LEXINGTON, KY","[38.0388898, -84.50528899999999]",38.0388898,-84.505289,0.0,0.1,0.1,0.6,"University of Kentucky<br>Lexington, KY<br>Crime Count: 1<br>Enrollment: 29781<br>Rate per 1000 students: 0.0","University of Kentucky<br>Lexington, KY<br>Crime Count: 4<br>Enrollment: 29781<br>Rate per 1000 students: 0.1","University of Kentucky<br>Lexington, KY<br>Crime Count: 3<br>Enrollment: 29781<br>Rate per 1000 students: 0.1","University of Kentucky<br>Lexington, KY<br>Crime Count: 17<br>Enrollment: 29781<br>Rate per 1000 students: 0.6"
93,3042,University of Maryland-College Park,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20667.0,18416.0,39083.0,5,11,3,6,"US Route 1, COLLEGE PARK, MD","[38.988586, -76.9352311]",38.988586,-76.9352311,0.2,0.1,0.3,0.1,"University of Maryland-College Park<br>College Park, MD<br>Crime Count: 6<br>Enrollment: 39083<br>Rate per 1000 students: 0.2","University of Maryland-College Park<br>College Park, MD<br>Crime Count: 3<br>Enrollment: 39083<br>Rate per 1000 students: 0.1","University of Maryland-College Park<br>College Park, MD<br>Crime Count: 11<br>Enrollment: 39083<br>Rate per 1000 students: 0.3","University of Maryland-College Park<br>College Park, MD<br>Crime Count: 5<br>Enrollment: 39083<br>Rate per 1000 students: 0.1"
94,3051,Montgomery College,Montgomery College:Germantown,20200 Observation Drive,Germantown,MD,20876,4,"Public, 2-year",11255.0,12661.0,23916.0,0,0,1,0,"20200 Observation Drive, Germantown, MD","[39.1863063, -77.24657619999999]",39.1863063,-77.2465762,0.0,0.0,0.0,0.0,"Montgomery College<br>Germantown, MD<br>Crime Count: 0<br>Enrollment: 23916<br>Rate per 1000 students: 0.0","Montgomery College<br>Germantown, MD<br>Crime Count: 1<br>Enrollment: 23916<br>Rate per 1000 students: 0.0","Montgomery College<br>Germantown, MD<br>Crime Count: 0<br>Enrollment: 23916<br>Rate per 1000 students: 0.0","Montgomery College<br>Germantown, MD<br>Crime Count: 0<br>Enrollment: 23916<br>Rate per 1000 students: 0.0"
95,3068,Towson University,Towson University,8000 YORK RD,TOWSON,MD,212520001,1,"Public, 4-year or above",8560.0,13783.0,22343.0,5,2,1,0,"8000 YORK RD, TOWSON, MD","[39.3947603, -76.6044957]",39.3947603,-76.6044957,0.0,0.0,0.1,0.2,"Towson University<br>Towson, MD<br>Crime Count: 0<br>Enrollment: 22343<br>Rate per 1000 students: 0.0","Towson University<br>Towson, MD<br>Crime Count: 1<br>Enrollment: 22343<br>Rate per 1000 students: 0.0","Towson University<br>Towson, MD<br>Crime Count: 2<br>Enrollment: 22343<br>Rate per 1000 students: 0.1","Towson University<br>Towson, MD<br>Crime Count: 5<br>Enrollment: 22343<br>Rate per 1000 students: 0.2"
96,3112,Boston University,Boston University Charles River Campus,1 Silber Way,Boston,MA,2215,2,"Private nonprofit, 4-year or above",13470.0,19225.0,32695.0,13,4,0,4,"1 Silber Way, Boston, MA","[42.349583, -71.099535]",42.349583,-71.099535,0.1,0.0,0.1,0.4,"Boston University<br>Boston, MA<br>Crime Count: 4<br>Enrollment: 32695<br>Rate per 1000 students: 0.1","Boston University<br>Boston, MA<br>Crime Count: 0<br>Enrollment: 32695<br>Rate per 1000 students: 0.0","Boston University<br>Boston, MA<br>Crime Count: 4<br>Enrollment: 32695<br>Rate per 1000 students: 0.1","Boston University<br>Boston, MA<br>Crime Count: 13<br>Enrollment: 32695<br>Rate per 1000 students: 0.4"
98,3261,Simmons College,Main Campus,300 THE FENWAY,BOSTON,MA,21155898,2,"Private nonprofit, 4-year or above",523.0,5588.0,6111.0,2,0,0,0,"300 THE FENWAY, BOSTON, MA","[42.3393661, -71.09993589999999]",42.3393661,-71.0999359,0.0,0.0,0.0,0.3,"Simmons College<br>Boston, MA<br>Crime Count: 0<br>Enrollment: 6111<br>Rate per 1000 students: 0.0","Simmons College<br>Boston, MA<br>Crime Count: 0<br>Enrollment: 6111<br>Rate per 1000 students: 0.0","Simmons College<br>Boston, MA<br>Crime Count: 0<br>Enrollment: 6111<br>Rate per 1000 students: 0.0","Simmons College<br>Boston, MA<br>Crime Count: 2<br>Enrollment: 6111<br>Rate per 1000 students: 0.3"
99,3263,Smith College,Main Campus,ELM ST,NORTHAMPTON,MA,1063,2,"Private nonprofit, 4-year or above",61.0,2835.0,2896.0,5,2,0,0,"ELM ST, NORTHAMPTON, MA","[42.3234534, -72.6467734]",42.3234534,-72.6467734,0.0,0.0,0.7,1.7,"Smith College<br>Northampton, MA<br>Crime Count: 0<br>Enrollment: 2896<br>Rate per 1000 students: 0.0","Smith College<br>Northampton, MA<br>Crime Count: 0<br>Enrollment: 2896<br>Rate per 1000 students: 0.0","Smith College<br>Northampton, MA<br>Crime Count: 2<br>Enrollment: 2896<br>Rate per 1000 students: 0.7","Smith College<br>Northampton, MA<br>Crime Count: 5<br>Enrollment: 2896<br>Rate per 1000 students: 1.7"
100,3265,Springfield College,Main Campus,263 ALDEN ST,SPRINGFIELD,MA,11093797,2,"Private nonprofit, 4-year or above",1362.0,1782.0,3144.0,4,3,0,0,"263 ALDEN ST, SPRINGFIELD, MA","[42.1021856, -72.55662149999999]",42.1021856,-72.5566215,0.0,0.0,1.0,1.3,"Springfield College<br>Springfield, MA<br>Crime Count: 0<br>Enrollment: 3144<br>Rate per 1000 students: 0.0","Springfield College<br>Springfield, MA<br>Crime Count: 0<br>Enrollment: 3144<br>Rate per 1000 students: 0.0","Springfield College<br>Springfield, MA<br>Crime Count: 3<br>Enrollment: 3144<br>Rate per 1000 students: 1.0","Springfield College<br>Springfield, MA<br>Crime Count: 4<br>Enrollment: 3144<br>Rate per 1000 students: 1.3"
101,3276,University of Massachusetts-Dartmouth,Main Campus,285 OLD WESTPORT RD,NORTH DARTMOUTH,MA,27472300,1,"Public, 4-year or above",4337.0,4310.0,8647.0,10,6,0,3,"285 OLD WESTPORT RD, NORTH DARTMOUTH, MA","[41.6306559, -71.0083835]",41.6306559,-71.0083835,0.3,0.0,0.7,1.2,"University of Massachusetts-Dartmouth<br>North Dartmouth, MA<br>Crime Count: 3<br>Enrollment: 8647<br>Rate per 1000 students: 0.3","University of Massachusetts-Dartmouth<br>North Dartmouth, MA<br>Crime Count: 0<br>Enrollment: 8647<br>Rate per 1000 students: 0.0","University of Massachusetts-Dartmouth<br>North Dartmouth, MA<br>Crime Count: 6<br>Enrollment: 8647<br>Rate per 1000 students: 0.7","University of Massachusetts-Dartmouth<br>North Dartmouth, MA<br>Crime Count: 10<br>Enrollment: 8647<br>Rate per 1000 students: 1.2"
102,3280,Stonehill College,Main Campus,320 WASHINGTON ST,EASTON,MA,23577180,2,"Private nonprofit, 4-year or above",998.0,1483.0,2481.0,3,6,0,1,"320 WASHINGTON ST, EASTON, MA","[42.0564164, -71.08077449999999]",42.0564164,-71.0807745,0.4,0.0,2.4,1.2,"Stonehill College<br>Easton, MA<br>Crime Count: 1<br>Enrollment: 2481<br>Rate per 1000 students: 0.4","Stonehill College<br>Easton, MA<br>Crime Count: 0<br>Enrollment: 2481<br>Rate per 1000 students: 0.0","Stonehill College<br>Easton, MA<br>Crime Count: 6<br>Enrollment: 2481<br>Rate per 1000 students: 2.4","Stonehill College<br>Easton, MA<br>Crime Count: 3<br>Enrollment: 2481<br>Rate per 1000 students: 1.2"
103,3284,Tufts University,Medford/Somerville Campus,419 Boston Avenue,Medford,MA,21555555,2,"Private nonprofit, 4-year or above",5126.0,6363.0,11489.0,6,14,1,2,"419 Boston Avenue, Medford, MA","[42.4085371, -71.1182729]",42.4085371,-71.1182729,0.2,0.1,1.2,0.5,"Tufts University<br>Medford, MA<br>Crime Count: 2<br>Enrollment: 11489<br>Rate per 1000 students: 0.2","Tufts University<br>Medford, MA<br>Crime Count: 1<br>Enrollment: 11489<br>Rate per 1000 students: 0.1","Tufts University<br>Medford, MA<br>Crime Count: 14<br>Enrollment: 11489<br>Rate per 1000 students: 1.2","Tufts University<br>Medford, MA<br>Crime Count: 6<br>Enrollment: 11489<br>Rate per 1000 students: 0.5"
104,3295,Williams College,Main Campus,880 MAIN ST. PO Box 368,WILLIAMSTOWN,MA,12670368,2,"Private nonprofit, 4-year or above",1096.0,1054.0,2150.0,13,3,0,3,"880 MAIN ST. PO Box 368, WILLIAMSTOWN, MA","[42.7128303, -73.20304039999999]",42.7128303,-73.2030404,1.4,0.0,1.4,6.0,"Williams College<br>Williamstown, MA<br>Crime Count: 3<br>Enrollment: 2150<br>Rate per 1000 students: 1.4","Williams College<br>Williamstown, MA<br>Crime Count: 0<br>Enrollment: 2150<br>Rate per 1000 students: 0.0","Williams College<br>Williamstown, MA<br>Crime Count: 3<br>Enrollment: 2150<br>Rate per 1000 students: 1.4","Williams College<br>Williamstown, MA<br>Crime Count: 13<br>Enrollment: 2150<br>Rate per 1000 students: 6.0"
105,3381,Cleary University,Cleary University,3750 Cleary Drive,Howell,MI,488438566,2,"Private nonprofit, 4-year or above",286.0,306.0,592.0,0,0,0,1,"3750 Cleary Drive, Howell, MI","[42.5866341, -83.8800182]",42.5866341,-83.8800182,1.7,0.0,0.0,0.0,"Cleary University<br>Howell, MI<br>Crime Count: 1<br>Enrollment: 592<br>Rate per 1000 students: 1.7","Cleary University<br>Howell, MI<br>Crime Count: 0<br>Enrollment: 592<br>Rate per 1000 students: 0.0","Cleary University<br>Howell, MI<br>Crime Count: 0<br>Enrollment: 592<br>Rate per 1000 students: 0.0","Cleary University<br>Howell, MI<br>Crime Count: 0<br>Enrollment: 592<br>Rate per 1000 students: 0.0"
106,3465,Lake Michigan College,Napier Avenue Campus,2755 E NAPIER AVE,BENTON HARBOR,MI,490221899,1,"Public, 4-year or above",1702.0,2357.0,4059.0,1,1,0,0,"2755 E NAPIER AVE, BENTON HARBOR, MI","[42.09556389999999, -86.39300829999999]",42.0955639,-86.3930083,0.0,0.0,0.2,0.2,"Lake Michigan College<br>Benton Harbor, MI<br>Crime Count: 0<br>Enrollment: 4059<br>Rate per 1000 students: 0.0","Lake Michigan College<br>Benton Harbor, MI<br>Crime Count: 0<br>Enrollment: 4059<br>Rate per 1000 students: 0.0","Lake Michigan College<br>Benton Harbor, MI<br>Crime Count: 1<br>Enrollment: 4059<br>Rate per 1000 students: 0.2","Lake Michigan College<br>Benton Harbor, MI<br>Crime Count: 1<br>Enrollment: 4059<br>Rate per 1000 students: 0.2"
107,3495,Michigan Barber School Inc,"MICHIGAN BARBER SCHOOL, INC.",8990 GRAND RIVER AVENUE,DETROIT,MI,482042244,5,"Private nonprofit, 2-year",26.0,6.0,32.0,0,0,1,0,"8990 GRAND RIVER AVENUE, DETROIT, MI","[42.3650646, -83.12883690000001]",42.3650646,-83.1288369,0.0,31.3,0.0,0.0,"Michigan Barber School Inc<br>Detroit, MI<br>Crime Count: 0<br>Enrollment: 32<br>Rate per 1000 students: 0.0","Michigan Barber School Inc<br>Detroit, MI<br>Crime Count: 1<br>Enrollment: 32<br>Rate per 1000 students: 31.3","Michigan Barber School Inc<br>Detroit, MI<br>Crime Count: 0<br>Enrollment: 32<br>Rate per 1000 students: 0.0","Michigan Barber School Inc<br>Detroit, MI<br>Crime Count: 0<br>Enrollment: 32<br>Rate per 1000 students: 0.0"
108,3576,Washtenaw Community College,Main Campus,4800 E HURON RIVER DR,ANN ARBOR,MI,481054800,4,"Public, 2-year",5895.0,6265.0,12160.0,2,3,0,0,"4800 E HURON RIVER DR, ANN ARBOR, MI","[42.2628413, -83.6642584]",42.2628413,-83.6642584,0.0,0.0,0.2,0.2,"Washtenaw Community College<br>Ann Arbor, MI<br>Crime Count: 0<br>Enrollment: 12160<br>Rate per 1000 students: 0.0","Washtenaw Community College<br>Ann Arbor, MI<br>Crime Count: 0<br>Enrollment: 12160<br>Rate per 1000 students: 0.0","Washtenaw Community College<br>Ann Arbor, MI<br>Crime Count: 3<br>Enrollment: 12160<br>Rate per 1000 students: 0.2","Washtenaw Community College<br>Ann Arbor, MI<br>Crime Count: 2<br>Enrollment: 12160<br>Rate per 1000 students: 0.2"
110,3657,Minnesota State University-Mankato,Main Campus,309 Wigley Administration Center,MANKATO,MN,56001,1,"Public, 4-year or above",6942.0,8223.0,15165.0,3,5,0,4,"309 Wigley Administration Center, MANKATO, MN","[44.1466934, -93.9994928]",44.1466934,-93.9994928,0.3,0.0,0.3,0.2,"Minnesota State University-Mankato<br>Mankato, MN<br>Crime Count: 4<br>Enrollment: 15165<br>Rate per 1000 students: 0.3","Minnesota State University-Mankato<br>Mankato, MN<br>Crime Count: 0<br>Enrollment: 15165<br>Rate per 1000 students: 0.0","Minnesota State University-Mankato<br>Mankato, MN<br>Crime Count: 5<br>Enrollment: 15165<br>Rate per 1000 students: 0.3","Minnesota State University-Mankato<br>Mankato, MN<br>Crime Count: 3<br>Enrollment: 15165<br>Rate per 1000 students: 0.2"
111,3659,Mayo Medical School,Main Campus,200 1ST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",112.0,123.0,235.0,0,0,0,1,"200 1ST ST SW, ROCHESTER, MN","[44.0226729, -92.4667508]",44.0226729,-92.4667508,4.3,0.0,0.0,0.0,"Mayo Medical School<br>Rochester, MN<br>Crime Count: 1<br>Enrollment: 235<br>Rate per 1000 students: 4.3","Mayo Medical School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 235<br>Rate per 1000 students: 0.0","Mayo Medical School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 235<br>Rate per 1000 students: 0.0","Mayo Medical School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 235<br>Rate per 1000 students: 0.0"
112,3660,Mayo School of Health Sciences,Main Campus,200 FIRST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",132.0,337.0,469.0,0,0,0,1,"200 FIRST ST SW, ROCHESTER, MN","[44.0226729, -92.4667508]",44.0226729,-92.4667508,2.1,0.0,0.0,0.0,"Mayo School of Health Sciences<br>Rochester, MN<br>Crime Count: 1<br>Enrollment: 469<br>Rate per 1000 students: 2.1","Mayo School of Health Sciences<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 469<br>Rate per 1000 students: 0.0","Mayo School of Health Sciences<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 469<br>Rate per 1000 students: 0.0","Mayo School of Health Sciences<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 469<br>Rate per 1000 students: 0.0"
113,3665,University of Minnesota-Twin Cities,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",24601.0,26978.0,51579.0,10,8,4,5,"100 CHURCH STREET SE, MINNEAPOLIS, MN","[44.9758602, -93.23451089999999]",44.9758602,-93.2345109,0.1,0.1,0.2,0.2,"University of Minnesota-Twin Cities<br>Minneapolis, MN<br>Crime Count: 5<br>Enrollment: 51579<br>Rate per 1000 students: 0.1","University of Minnesota-Twin Cities<br>Minneapolis, MN<br>Crime Count: 4<br>Enrollment: 51579<br>Rate per 1000 students: 0.1","University of Minnesota-Twin Cities<br>Minneapolis, MN<br>Crime Count: 8<br>Enrollment: 51579<br>Rate per 1000 students: 0.2","University of Minnesota-Twin Cities<br>Minneapolis, MN<br>Crime Count: 10<br>Enrollment: 51579<br>Rate per 1000 students: 0.2"
114,3667,University of Minnesota-Crookston,Crookston Campus,105 SELVIG HALL,CROOKSTON,MN,56716,1,"Public, 4-year or above",1264.0,1412.0,2676.0,2,0,0,0,"105 SELVIG HALL, CROOKSTON, MN","[47.80171, -96.6069279]",47.80171,-96.6069279,0.0,0.0,0.0,0.7,"University of Minnesota-Crookston<br>Crookston, MN<br>Crime Count: 0<br>Enrollment: 2676<br>Rate per 1000 students: 0.0","University of Minnesota-Crookston<br>Crookston, MN<br>Crime Count: 0<br>Enrollment: 2676<br>Rate per 1000 students: 0.0","University of Minnesota-Crookston<br>Crookston, MN<br>Crime Count: 0<br>Enrollment: 2676<br>Rate per 1000 students: 0.0","University of Minnesota-Crookston<br>Crookston, MN<br>Crime Count: 2<br>Enrollment: 2676<br>Rate per 1000 students: 0.7"
115,3669,Minneapolis College of Art and Design,Main Campus,2501 STEVENS AVE S,MINNEAPOLIS,MN,55404,2,"Private nonprofit, 4-year or above",234.0,569.0,803.0,0,0,0,1,"2501 STEVENS AVE S, MINNEAPOLIS, MN","[44.9567576, -93.27456629999999]",44.9567576,-93.2745663,1.2,0.0,0.0,0.0,"Minneapolis College of Art and Design<br>Minneapolis, MN<br>Crime Count: 1<br>Enrollment: 803<br>Rate per 1000 students: 1.2","Minneapolis College of Art and Design<br>Minneapolis, MN<br>Crime Count: 0<br>Enrollment: 803<br>Rate per 1000 students: 0.0","Minneapolis College of Art and Design<br>Minneapolis, MN<br>Crime Count: 0<br>Enrollment: 803<br>Rate per 1000 students: 0.0","Minneapolis College of Art and Design<br>Minneapolis, MN<br>Crime Count: 0<br>Enrollment: 803<br>Rate per 1000 students: 0.0"
117,3779,University of Mississippi,Main Campus,Kinard Hall Wing C,UNIVERSITY,MS,386771848,1,"Public, 4-year or above",10273.0,13337.0,23610.0,6,0,0,2,"Kinard Hall Wing C, UNIVERSITY, MS","[34.3647324, -89.538443]",34.3647324,-89.538443,0.1,0.0,0.0,0.3,"University of Mississippi<br>University, MS<br>Crime Count: 2<br>Enrollment: 23610<br>Rate per 1000 students: 0.1","University of Mississippi<br>University, MS<br>Crime Count: 0<br>Enrollment: 23610<br>Rate per 1000 students: 0.0","University of Mississippi<br>University, MS<br>Crime Count: 0<br>Enrollment: 23610<br>Rate per 1000 students: 0.0","University of Mississippi<br>University, MS<br>Crime Count: 6<br>Enrollment: 23610<br>Rate per 1000 students: 0.3"
118,3787,Mississippi Gulf Coast Community College,Jackson County Campus,P.O. Box 100,Gautier,MS,39553,4,"Public, 2-year",3697.0,5259.0,8956.0,0,0,0,1,"P.O. Box 100, Gautier, MS","[30.780579, -89.140474]",30.780579,-89.140474,0.1,0.0,0.0,0.0,"Mississippi Gulf Coast Community College<br>Gautier, MS<br>Crime Count: 1<br>Enrollment: 8956<br>Rate per 1000 students: 0.1","Mississippi Gulf Coast Community College<br>Gautier, MS<br>Crime Count: 0<br>Enrollment: 8956<br>Rate per 1000 students: 0.0","Mississippi Gulf Coast Community College<br>Gautier, MS<br>Crime Count: 0<br>Enrollment: 8956<br>Rate per 1000 students: 0.0","Mississippi Gulf Coast Community College<br>Gautier, MS<br>Crime Count: 0<br>Enrollment: 8956<br>Rate per 1000 students: 0.0"
119,3805,University of Southern Mississippi,Main Campus,"118 College Drive, Box 5001",HATTIESBURG,MS,394065001,1,"Public, 4-year or above",5379.0,9173.0,14552.0,4,0,0,0,"118 College Drive, Box 5001, HATTIESBURG, MS","[31.3300115, -89.3340423]",31.3300115,-89.3340423,0.0,0.0,0.0,0.3,"University of Southern Mississippi<br>Hattiesburg, MS<br>Crime Count: 0<br>Enrollment: 14552<br>Rate per 1000 students: 0.0","University of Southern Mississippi<br>Hattiesburg, MS<br>Crime Count: 0<br>Enrollment: 14552<br>Rate per 1000 students: 0.0","University of Southern Mississippi<br>Hattiesburg, MS<br>Crime Count: 0<br>Enrollment: 14552<br>Rate per 1000 students: 0.0","University of Southern Mississippi<br>Hattiesburg, MS<br>Crime Count: 4<br>Enrollment: 14552<br>Rate per 1000 students: 0.3"
120,3875,Drury University,Drury University,900 N. Benton,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",1483.0,2086.0,3569.0,6,1,0,0,"900 N. Benton, Springfield, MO","[37.2196487, -93.28615599999999]",37.2196487,-93.286156,0.0,0.0,0.3,1.7,"Drury University<br>Springfield, MO<br>Crime Count: 0<br>Enrollment: 3569<br>Rate per 1000 students: 0.0","Drury University<br>Springfield, MO<br>Crime Count: 0<br>Enrollment: 3569<br>Rate per 1000 students: 0.0","Drury University<br>Springfield, MO<br>Crime Count: 1<br>Enrollment: 3569<br>Rate per 1000 students: 0.3","Drury University<br>Springfield, MO<br>Crime Count: 6<br>Enrollment: 3569<br>Rate per 1000 students: 1.7"
121,3981,University of Missouri-Kansas City,Main Campus,5100 ROCKHILL RD,KANSAS CITY,MO,641102499,1,"Public, 4-year or above",7463.0,9473.0,16936.0,2,0,0,1,"5100 ROCKHILL RD, KANSAS CITY, MO","[39.03366949999999, -94.5762776]",39.0336695,-94.5762776,0.1,0.0,0.0,0.1,"University of Missouri-Kansas City<br>Kansas City, MO<br>Crime Count: 1<br>Enrollment: 16936<br>Rate per 1000 students: 0.1","University of Missouri-Kansas City<br>Kansas City, MO<br>Crime Count: 0<br>Enrollment: 16936<br>Rate per 1000 students: 0.0","University of Missouri-Kansas City<br>Kansas City, MO<br>Crime Count: 0<br>Enrollment: 16936<br>Rate per 1000 students: 0.0","University of Missouri-Kansas City<br>Kansas City, MO<br>Crime Count: 2<br>Enrollment: 16936<br>Rate per 1000 students: 0.1"
123,3998,Northwest Missouri State University,Northwest Missouri State University,800 UNIVERSITY DRIVE,MARYVILLE,MO,644686001,1,"Public, 4-year or above",2914.0,3616.0,6530.0,3,2,0,1,"800 UNIVERSITY DRIVE, MARYVILLE, MO","[40.3519243, -94.8838091]",40.3519243,-94.8838091,0.2,0.0,0.3,0.5,"Northwest Missouri State University<br>Maryville, MO<br>Crime Count: 1<br>Enrollment: 6530<br>Rate per 1000 students: 0.2","Northwest Missouri State University<br>Maryville, MO<br>Crime Count: 0<br>Enrollment: 6530<br>Rate per 1000 students: 0.0","Northwest Missouri State University<br>Maryville, MO<br>Crime Count: 2<br>Enrollment: 6530<br>Rate per 1000 students: 0.3","Northwest Missouri State University<br>Maryville, MO<br>Crime Count: 3<br>Enrollment: 6530<br>Rate per 1000 students: 0.5"
